praatword,parsedword,lstm256Surprisal,k_10distance,k_10surprisal,k_10entropy,k_10Hdelta,k_20distance,k_20surprisal,k_20entropy,k_20Hdelta,k_40distance,k_40surprisal,k_40entropy,k_40Hdelta,k_60distance,k_60surprisal,k_60entropy,k_60Hdelta,k_80distance,k_80surprisal,k_80entropy,k_80Hdelta,k_100distance,k_100surprisal,k_100entropy,k_100Hdelta
she,she,5.38111019135,18,4.944871,2.789749,0.596136,18,4.513467,3.458569,0.768746,18,4.435336,3.916878,0.815095,18,4.426507,4.094869,0.779995,18,4.414798,4.253096,0.75462,18,4.407089,4.376836,0.746473
felt,felt,3.91777420044,10,4.432674,1.767738,-1.02201,10,4.682479,2.397997,-1.06057,19,4.673007,2.992758,-0.92412,19,4.645982,3.287933,-0.806936,20,4.634481,3.51241,-0.740686,21,4.631889,3.65551,-0.721326
a,a,3.08496665955,7,3.489109,2.661629,0.893891,6,3.405601,3.239489,0.841492,6,3.395803,3.855677,0.862919,6,3.401068,4.168555,0.880622,6,3.402987,4.390017,0.877607,6,3.396419,4.538521,0.883011
little,little,1.93590354919,24,1.305991,2.118579,-0.54305,24,1.242588,2.733477,-0.506012,24,1.238577,3.27368,-0.581997,25,1.239459,3.539217,-0.629338,25,1.236528,3.75307,-0.636947,25,1.235183,3.914624,-0.623897
nervous,nervous,5.54538488388,26,8.515581,1.964416,-0.154163,26,8.512709,2.678456,-0.055021,26,8.52023,3.18467,-0.08901,26,8.427192,3.467975,-0.071242,26,8.427518,3.686593,-0.066477,26,8.381304,3.858163,-0.056461
about,about,4.8989481926,26,5.943803,2.473159,0.508743,26,5.988414,3.136401,0.457945,26,5.945572,3.680542,0.495872,26,5.733791,3.838428,0.370453,27,5.74156,4.045424,0.358831,27,5.663287,4.145212,0.287049
this,this,4.91508197784,25,7.227981,1.655063,-0.818096,25,7.192227,2.22855,-0.907851,25,6.820041,2.886369,-0.794173,26,5.922461,2.284748,-1.55368,26,5.950426,2.448061,-1.59736,26,5.721819,2.650314,-1.4949
for,for,5.75285482407,26,5.412665,2.273971,0.618908,26,5.371079,2.696612,0.468062,26,5.415317,3.611996,0.725627,26,5.447397,3.611559,1.32681,26,5.435493,3.737001,1.28894,25,5.470456,3.824937,1.17462
it,it,2.23863887787,19,2.680019,1.9068,-0.367171,17,2.752919,2.431089,-0.265523,17,2.763777,3.228797,-0.383199,17,2.656565,3.1821,-0.429459,16,2.652445,3.377104,-0.359897,16,2.675997,3.49789,-0.327047
might,might,4.87778997421,29,4.362891,1.290527,-0.616273,29,4.4171,1.688491,-0.742598,28,4.39761,2.515377,-0.71342,30,4.36875,2.567528,-0.614572,30,4.362341,2.789821,-0.587283,30,4.386909,2.873089,-0.624801
end,end,8.82697105408,27,9.51428,0.707705,-0.582822,28,9.387352,1.361886,-0.326605,28,9.392399,2.215637,-0.29974,29,9.432476,2.04017,-0.527358,29,9.426817,2.230287,-0.559534,29,9.419857,2.336875,-0.536214
you,you,6.83723258972,17,4.090035,2.167051,1.45935,18,4.079929,2.864489,1.5026,18,4.108132,3.733876,1.51824,18,4.033246,3.557072,1.5169,17,4.029389,3.735904,1.50562,17,4.020299,3.850732,1.51386
know,know,1.45597171783,29,2.78688,1.089992,-1.07706,29,2.765322,1.827838,-1.03665,30,2.720359,2.632818,-1.10106,30,2.768808,2.566979,-0.990093,30,2.770741,2.757002,-0.978902,30,2.770923,2.910815,-0.939917
said,said,5.04715824127,24,5.063846,2.302239,1.21225,24,5.043759,2.997954,1.17012,23,4.620659,3.354572,0.721754,24,4.818266,3.664324,1.09735,24,4.81558,3.88875,1.13175,24,4.835733,4.138431,1.22762
alice,alice,2.08741140366,12,1.223765,2.24165,-0.060589,9,1.245081,2.95669,-0.041264,8,1.326111,3.568365,0.213793,8,1.260755,3.804579,0.140255,8,1.258638,4.01876,0.13001,8,1.264744,4.228848,0.090417
to,to,3.78579211235,20,3.393815,2.684081,0.442431,21,3.403146,3.240218,0.283528,22,3.646749,3.766106,0.197741,21,3.476038,4.087871,0.283292,21,3.466548,4.300572,0.281812,21,3.438763,4.440801,0.211953
herself,herself,2.67879199982,33,3.160114,1.812209,-0.871872,33,3.128044,2.494429,-0.745789,33,2.826521,2.216838,-1.54927,33,2.97553,2.943696,-1.14417,33,2.969186,3.20322,-1.09735,33,3.003596,3.438575,-1.00223
in,in,3.71979427338,34,4.258902,2.474965,0.662756,34,4.285585,3.078655,0.584226,34,4.14823,2.514189,0.297351,34,4.178139,3.491653,0.547957,34,4.18923,3.71384,0.51062,34,4.206359,3.995591,0.557016
my,my,5.33561229706,33,5.311966,2.129034,-0.345931,33,5.365887,2.755255,-0.3234,33,5.866518,3.190746,0.676557,35,5.548776,3.66106,0.169407,35,5.521079,3.907555,0.193715,35,5.497303,4.074736,0.079145
going,going,6.95794343948,35,7.747828,1.910456,-0.218578,35,7.724873,2.564055,-0.1912,37,7.570998,2.830979,-0.359767,37,7.67946,3.417028,-0.244032,37,7.685305,3.670181,-0.237374,37,7.68913,3.869301,-0.205435
out,out,4.39783239365,35,7.52877,1.993006,0.08255,35,7.603479,2.612808,0.048753,37,7.659039,2.731262,-0.099717,37,7.595028,3.425469,0.008441,37,7.59311,3.635294,-0.034887,37,7.618031,3.756438,-0.112863
altogether,altogether,9.78087520599,36,10.13438,1.276017,-0.716989,36,10.103005,1.917278,-0.69553,36,10.206003,2.567895,-0.163367,36,9.921665,2.926249,-0.49922,36,9.912245,3.177214,-0.45808,36,10.073162,3.390485,-0.365953
like,like,7.20567464828,34,7.084135,1.560528,0.284511,34,7.218626,2.353685,0.436407,34,7.539918,2.906058,0.338163,34,7.225609,3.217167,0.290918,34,7.228126,3.46979,0.292576,34,7.272836,3.665428,0.274943
a,a,1.90175962448,12,2.586154,2.123585,0.563057,15,2.634546,2.890952,0.537267,13,2.657,3.503954,0.597896,15,2.623961,3.838007,0.62084,15,2.628683,4.08774,0.61795,14,2.633468,4.265213,0.599785
candle,UNK,1.74822282791,5,1.79888,2.018159,-0.105426,5,1.793499,2.738287,-0.152665,5,1.782545,3.324228,-0.179726,5,1.789445,3.714549,-0.123458,5,1.789142,3.961134,-0.126606,5,1.787194,4.13082,-0.134393
i,i,2.82695960999,9,2.741468,1.152228,-0.865931,9,2.732975,1.169307,-1.56898,9,2.729633,1.179935,-2.14429,9,2.728525,1.183035,-2.53151,9,2.72794,1.184116,-2.77702,9,2.727662,1.184855,-2.94597
wonder,wonder,4.17063713074,10,4.105919,0.914056,-0.238172,10,4.108181,0.958791,-0.210516,10,4.109574,0.971549,-0.208386,11,4.109989,0.978346,-0.204689,11,4.110215,0.982352,-0.201764,11,4.110325,0.983841,-0.201014
what,what,2.69802093506,10,1.265053,1.094579,0.180523,10,1.258692,1.139827,0.181036,10,1.25238,1.161706,0.190157,10,1.250677,1.172205,0.193859,9,1.249778,1.176765,0.194413,9,1.249168,1.179171,0.19533
i,i,1.98004245758,9,1.479465,0.842625,-0.251954,9,1.481491,0.903113,-0.236714,9,1.484071,0.938033,-0.223673,9,1.484648,0.951613,-0.220592,9,1.484976,0.958013,-0.218752,9,1.485058,0.963543,-0.215628
should,should,3.43263196945,14,3.874423,0.803732,-0.038893,14,3.87394,0.87676,-0.026353,14,3.873465,0.923732,-0.014301,14,3.873419,0.941103,-0.01051,14,3.873484,0.9489,-0.009113,15,3.873481,0.955973,-0.00757
be,be,3.19074821472,14,2.895667,0.826402,0.02267,15,2.893961,0.90805,0.03129,15,2.893133,0.961396,0.037664,15,2.892854,0.980421,0.039318,15,2.892682,0.989581,0.040681,15,2.892592,0.997446,0.041473
like,like,3.881057024,15,5.240758,1.416504,0.590102,15,5.207028,1.626116,0.718066,16,5.189797,1.769478,0.808082,16,5.181627,1.840484,0.860063,16,5.176559,1.88536,0.895779,16,5.173572,1.910428,0.912982
then,then,7.48332500458,14,7.770809,2.606341,1.18984,14,7.634922,3.000143,1.37403,14,7.518202,3.391648,1.62217,15,7.47076,3.57091,1.73043,15,7.445572,3.686735,1.80138,15,7.428063,3.767972,1.85754
and,and,3.39400339127,9,3.818966,1.039487,-1.56685,9,3.80897,1.081003,-1.91914,9,3.80374,1.103244,-2.2884,9,3.801973,1.10883,-2.46208,9,3.801341,1.112252,-2.57448,9,3.80096,1.114465,-2.65351
she,she,1.76307344437,9,2.233435,0.797602,-0.241885,9,2.236188,0.833054,-0.247949,9,2.236821,0.863899,-0.239345,9,2.236982,0.873821,-0.235009,9,2.236892,0.878669,-0.233583,9,2.23684,0.881034,-0.233431
tried,tried,4.09170103073,11,5.084326,1.131914,0.334312,11,5.086137,1.165476,0.332422,11,5.087859,1.185768,0.321869,11,5.087948,1.20095,0.327129,11,5.088002,1.206556,0.327887,11,5.088186,1.208553,0.327519
to,to,2.08260583878,11,1.444321,1.48337,0.351456,11,1.435706,1.52933,0.363854,11,1.433122,1.555394,0.369626,11,1.432427,1.568682,0.367732,11,1.431757,1.576348,0.369792,11,1.431147,1.579392,0.370839
fancy,fancy,7.18813943863,13,9.697335,1.332223,-0.151147,13,9.647902,1.575994,0.046664,13,9.638408,1.652075,0.096681,14,9.628477,1.725269,0.156587,14,9.623931,1.764214,0.187866,14,9.622391,1.781115,0.201723
what,what,4.42988014221,14,4.229669,1.40556,0.073337,14,4.221524,1.727536,0.151542,14,4.202404,1.879942,0.227867,14,4.198403,1.963887,0.238618,14,4.19574,2.009681,0.245467,14,4.192187,2.043017,0.261902
the,the,4.43364238739,8,2.924439,1.452606,0.047046,8,2.934448,1.719488,-0.008048,8,2.945158,1.847124,-0.032818,8,2.948628,1.923998,-0.039889,8,2.95005,1.969487,-0.040194,9,2.951499,1.996501,-0.046516
flame,UNK,2.82953357697,5,2.940458,1.489211,0.036605,5,2.935843,1.766503,0.047015,5,2.928883,1.930343,0.083219,5,2.926366,2.02129,0.097292,5,2.925595,2.071482,0.101995,5,2.923884,2.113434,0.116933
of,of,1.81953334808,10,2.743682,0.790828,-0.698383,10,2.720661,1.140908,-0.625595,15,2.698422,1.391078,-0.539265,14,2.693002,1.501742,-0.519548,16,2.694775,1.538298,-0.533184,16,2.687692,1.617932,-0.495502
a,a,4.13525390625,6,3.005144,1.592947,0.802119,7,3.008875,1.937718,0.79681,7,3.00919,2.189548,0.79847,7,3.008262,2.299965,0.798223,7,3.007404,2.338247,0.799949,7,3.007537,2.420023,0.802091
candle,UNK,1.16106843948,5,1.722046,1.68913,0.096183,5,1.717413,2.018591,0.080873,5,1.717763,2.261095,0.071547,5,1.717371,2.373314,0.073349,5,1.716327,2.415243,0.076996,5,1.716779,2.491856,0.071833
is,is,7.63635587692,18,4.543282,0.937766,-0.751364,18,4.56346,1.22589,-0.792701,18,4.583697,1.376644,-0.884451,19,4.595764,1.434662,-0.938652,19,4.599375,1.463405,-0.951838,19,4.60606,1.505865,-0.985991
like,like,6.89515829086,17,6.355079,1.078677,0.140911,17,6.329352,1.402045,0.176155,21,6.2682,1.733764,0.35712,21,6.235161,1.921384,0.486722,22,6.208287,2.062694,0.599289,22,6.192558,2.167677,0.661812
after,after,7.60136890411,17,9.600715,2.234474,1.1558,18,8.688112,1.875696,0.473651,18,8.595264,2.567727,0.833963,18,8.444402,2.821342,0.899958,18,8.39065,3.093732,1.03104,18,8.337516,3.376989,1.20931
the,the,1.32057189941,8,1.720472,2.232225,-0.002249,7,1.501876,2.097837,0.222141,7,1.550751,2.629726,0.061999,7,1.541556,2.943133,0.121791,6,1.553181,3.176306,0.082574,6,1.575371,3.401081,0.024092
candle,UNK,2.20720386505,5,2.359825,1.959836,-0.272389,5,2.332469,1.872641,-0.225196,5,2.343174,2.331466,-0.29826,5,2.343873,2.697131,-0.246002,5,2.350175,2.916821,-0.259485,5,2.353391,3.104307,-0.296774
is,is,6.86958742142,18,8.22139,1.524019,-0.435817,18,8.516921,2.324411,0.45177,19,7.966312,2.585066,0.2536,19,7.918923,3.030689,0.333558,19,7.728722,3.453758,0.536937,19,7.581418,3.663873,0.559566
blown,UNK,2.64705514908,9,4.193906,2.776288,1.25227,9,4.319167,3.626242,1.30183,9,4.20404,3.986646,1.40158,9,4.184416,4.411258,1.38057,10,4.209344,4.814823,1.36106,10,4.188417,5.028913,1.36504
out,out,4.30257892609,22,4.219057,0.973527,-1.80276,22,4.293732,2.026476,-1.59977,23,4.360014,2.528422,-1.45822,23,4.300158,3.031853,-1.37941,23,4.253454,3.399614,-1.41521,23,4.239248,3.604061,-1.42485
for,for,5.27995252609,23,4.181164,1.490501,0.516974,23,4.220169,2.544943,0.518467,23,4.186165,3.078203,0.549781,24,4.19586,3.547153,0.5153,24,4.200583,3.909158,0.509544,24,4.20135,4.131356,0.527295
she,she,5.38523864746,18,3.73483,0.639028,-0.851473,19,4.051512,1.366638,-1.1783,19,3.994237,2.133511,-0.944692,19,4.044545,2.448757,-1.0984,18,4.118486,2.908751,-1.00041,18,4.082466,3.270909,-0.860447
could,could,3.86863088608,19,2.77517,0.702647,0.063619,25,2.810391,1.39285,0.026212,25,2.852929,2.188459,0.054948,25,2.836724,2.507697,0.05894,25,2.886886,2.838339,-0.070412,25,2.8822,3.217713,-0.053196
not,not,1.54434633255,19,2.229815,0.930225,0.227578,25,2.233438,1.61592,0.22307,25,2.216603,2.407348,0.218889,25,2.221335,2.726567,0.21887,25,2.21318,3.078932,0.240593,25,2.216805,3.446988,0.229275
remember,remember,4.54469394684,21,4.554809,0.744057,-0.186168,27,4.561696,1.409152,-0.206768,27,4.546114,2.197532,-0.209816,27,4.550613,2.519715,-0.206852,27,4.547599,2.871974,-0.206958,27,4.546299,3.240673,-0.206315
ever,ever,7.09070062637,21,8.587904,0.529744,-0.214313,27,8.63254,1.153367,-0.255785,27,8.68058,1.892203,-0.305329,27,8.632594,2.301037,-0.218678,27,8.625237,2.643494,-0.22848,27,8.728731,2.874012,-0.366661
having,having,7.65095090866,22,8.467644,0.976296,0.446552,28,8.656161,1.414168,0.260801,26,8.552136,2.276498,0.384295,26,8.528042,2.702446,0.401409,28,8.596115,2.919151,0.275657,28,8.588841,3.14768,0.273668
seen,seen,4.62448978424,23,5.361843,0.583942,-0.392354,29,5.40795,0.889958,-0.52421,27,5.338634,1.907963,-0.368535,27,5.345098,2.323509,-0.378937,29,5.354466,2.503737,-0.415414,29,5.34911,2.75653,-0.39115
such,such,4.65428352356,23,5.28623,1.172083,0.588141,29,5.290308,1.484655,0.594697,27,5.269755,2.498421,0.590458,27,5.273931,2.919288,0.595779,29,5.27223,3.100606,0.596869,29,5.273552,3.348977,0.592447
a,a,0.844900608063,9,0.656955,1.039418,-0.132665,10,0.660237,1.326927,-0.157728,10,0.660042,2.363971,-0.13445,10,0.659137,2.779979,-0.139309,10,0.660315,2.959545,-0.141061,10,0.659912,3.206451,-0.142526
thing,thing,5.20939254761,24,5.361008,0.752371,-0.287047,30,5.371641,1.007384,-0.319543,28,5.330675,2.06381,-0.300161,28,5.338385,2.483191,-0.296788,30,5.337381,2.656373,-0.303172,31,5.338041,2.903546,-0.302905
after,after,5.92984485626,9,6.635616,1.497963,0.745592,9,6.59561,1.689313,0.681929,9,6.564777,1.845915,-0.217895,9,6.555973,1.905257,-0.577934,9,6.552194,1.934267,-0.722106,9,6.550138,1.948098,-0.955448
a,a,1.93936538696,7,2.777677,1.935799,0.437836,7,2.762146,2.052109,0.362796,7,2.772357,2.160752,0.314837,7,2.771286,2.227383,0.322126,7,2.770157,2.251258,0.316991,7,2.768755,2.267429,0.319331
while,while,7.6574678421,12,6.145249,1.745335,-0.190464,12,6.150304,1.895182,-0.156927,12,6.146614,1.987666,-0.173086,12,6.149376,2.029305,-0.198078,12,6.150461,2.05314,-0.198118,12,6.151209,2.071276,-0.196153
finding,UNK,3.01570701599,7,4.569383,3.291059,1.54572,7,4.282573,3.638262,1.74308,8,4.101614,3.957415,1.96975,8,4.039074,4.068691,2.03939,8,4.007478,4.141383,2.08824,8,3.987651,4.196714,2.12544
that,that,3.32409930229,10,4.212784,2.833822,-0.457237,10,4.265056,3.462536,-0.175726,10,4.169683,3.886688,-0.070727,11,4.143129,4.109113,0.040422,11,4.130064,4.249307,0.107924,11,4.120797,4.345757,0.149043
nothing,nothing,8.76230144501,12,8.492105,1.635214,-1.19861,12,8.578115,2.085477,-1.37706,13,8.646692,2.719555,-1.16713,13,8.631607,3.067694,-1.04142,13,8.633828,3.204988,-1.04432,13,8.630781,3.307481,-1.03828
more,more,6.65252161026,12,7.485041,2.102796,0.467582,12,7.440665,2.681546,0.596069,13,7.437674,3.241179,0.521624,13,7.421018,3.597012,0.529318,14,7.410661,3.745481,0.540493,13,7.37147,3.906425,0.598944
happened,happened,7.18641090393,15,7.037055,1.661222,-0.441574,15,7.15063,2.017025,-0.664521,15,7.34015,2.200813,-1.04037,15,7.367089,2.481642,-1.11537,15,7.389099,2.61422,-1.13126,15,7.393,2.82888,-1.07755
she,she,6.1311955452,13,4.554476,2.134,0.472778,13,4.536442,2.514273,0.497248,13,4.510478,2.707344,0.506531,13,4.480162,2.960286,0.478644,12,4.463502,3.066219,0.451999,12,4.378137,3.362628,0.533748
decided,decided,7.45338201523,10,11.662958,0.573907,-1.56009,16,11.440085,1.237904,-1.27637,16,10.981401,2.246745,-0.460599,17,10.946386,2.561408,-0.398878,17,10.777759,2.920787,-0.145432,17,10.652938,3.230603,-0.132025
on,on,3.31476378441,11,4.54859,1.022242,0.448335,17,4.55468,1.674775,0.436871,17,4.573593,2.59438,0.347635,17,4.557931,2.941606,0.380198,17,4.577539,3.252044,0.331257,17,4.568678,3.559697,0.329094
going,going,8.98544788361,12,7.765123,1.151486,0.129244,18,7.83371,1.807743,0.132968,18,7.750231,2.839505,0.245125,18,7.78316,3.11494,0.173334,18,7.801042,3.383322,0.131278,18,7.78976,3.6341,0.074403
into,into,3.11100482941,14,4.301213,1.155201,0.003715,20,4.292812,1.821803,0.01406,20,4.27995,2.843381,0.003876,20,4.279805,3.117696,0.002756,20,4.285764,3.378113,-0.005209,20,4.282899,3.624509,-0.009591
the,the,1.2991104126,8,1.321394,1.906395,0.751194,8,1.323246,2.563581,0.741778,8,1.363071,3.583189,0.739808,7,1.343017,3.857163,0.739467,7,1.344042,4.11805,0.739937,7,1.345577,4.363633,0.739124
garden,garden,4.14364147186,16,4.450619,1.714773,-0.191622,22,4.443695,2.377268,-0.186313,22,4.437965,3.297657,-0.285532,22,4.440704,3.623163,-0.234,22,4.439184,3.881137,-0.236913,22,4.438312,4.124891,-0.238742
at,at,5.35794067383,15,4.430845,2.153963,0.43919,19,4.457093,2.831273,0.454005,19,4.496798,3.798984,0.501327,18,4.490011,4.101597,0.478434,19,4.491735,4.362657,0.48152,18,4.488658,4.637224,0.512333
once,once,3.23475599289,17,3.006634,1.80511,-0.348853,21,3.006793,2.4298,-0.401473,21,3.043807,3.253096,-0.545888,21,3.018464,3.616353,-0.485244,23,3.017465,3.885499,-0.477158,21,3.035535,4.129021,-0.508203
but,but,4.69251346588,18,3.67814,1.713898,-0.091212,22,3.664983,2.395145,-0.034655,22,3.561309,3.048936,-0.20416,24,3.580275,3.34499,-0.271363,22,3.674614,3.547143,-0.338356,22,3.452493,3.726013,-0.403008
alas,alas,8.63471221924,9,10.619377,0.615989,-1.09791,9,10.228111,1.308005,-1.08714,9,10.374563,1.973044,-1.07589,9,10.303385,2.374717,-0.970273,9,10.243436,2.655879,-0.891264,9,10.276412,2.936979,-0.789034
for,for,4.88202524185,10,6.256398,1.590454,0.974465,10,6.256544,2.285927,0.977922,10,6.300101,3.060276,1.08723,11,6.089262,3.443724,1.06901,12,6.069312,3.655999,1.00012,12,6.431266,3.942713,1.00573
poor,poor,8.75001049042,11,9.445168,1.203228,-0.387226,11,9.527037,1.932808,-0.353119,11,9.465771,2.265819,-0.794457,11,9.553922,2.593932,-0.849792,13,9.473271,2.841749,-0.81425,13,9.476513,3.059293,-0.88342
alice,alice,3.49995398521,10,2.149616,0.996627,-0.206601,9,2.319984,1.742005,-0.190803,10,2.243917,2.108735,-0.157084,10,2.417257,2.578018,-0.015914,10,2.405638,2.807979,-0.03377,10,2.215982,2.991396,-0.067897
when,when,4.77644920349,9,5.336513,1.365275,0.368648,9,5.322217,1.433418,-0.308587,9,5.310992,1.537413,-0.571322,9,5.306102,1.572719,-1.0053,9,5.302988,1.591675,-1.2163,9,5.300996,1.600443,-1.39095
she,she,1.21326684952,10,1.97943,1.093383,-0.271892,10,1.979636,1.182718,-0.2507,10,1.981928,1.236971,-0.300442,10,1.983266,1.26291,-0.309809,10,1.983975,1.281808,-0.309867,10,1.984214,1.295988,-0.304455
got,got,3.7071928978,12,4.636393,1.630813,0.53743,12,4.626981,1.709565,0.526847,13,4.622622,1.78254,0.545569,13,4.621444,1.809474,0.546564,13,4.621137,1.829052,0.547244,13,4.621009,1.842339,0.546351
to,to,2.22938489914,12,2.772347,2.097908,0.467095,12,2.753187,2.227048,0.517483,13,2.74068,2.322909,0.540369,13,2.735812,2.365378,0.555904,13,2.733235,2.395566,0.566514,13,2.731703,2.414272,0.571933
the,the,1.69807291031,8,2.23653,2.1475,0.049592,8,2.229612,2.323805,0.096757,8,2.223569,2.440454,0.117545,8,2.221473,2.508928,0.14355,8,2.219769,2.556345,0.160779,8,2.218453,2.587549,0.173277
door,door,3.92385292053,14,3.647637,1.943883,-0.203617,15,3.650742,2.142242,-0.181563,15,3.655184,2.284536,-0.155918,16,3.655166,2.354675,-0.154253,16,3.65535,2.399016,-0.157329,16,3.655686,2.429201,-0.158348
she,she,2.44997143745,12,3.428265,1.679103,-0.26478,12,3.43177,1.812885,-0.329357,12,3.426291,1.915403,-0.369133,12,3.423423,1.977915,-0.37676,13,3.42323,2.005875,-0.393141,13,3.422143,2.034443,-0.394758
found,found,5.33403301239,10,5.129678,2.04225,0.363147,14,5.109787,2.254215,0.44133,14,5.103905,2.434481,0.519078,15,5.099224,2.521472,0.543557,16,5.094049,2.562918,0.557043,15,5.09225,2.599468,0.565025
she,she,4.80204153061,13,5.865006,2.46978,0.42753,13,5.779057,2.822368,0.568153,13,5.717061,3.112648,0.678167,13,5.692925,3.250545,0.729073,13,5.680444,3.333584,0.770666,13,5.669386,3.389236,0.789768
had,had,2.39940214157,14,2.461088,1.729366,-0.740414,14,2.4797,2.144359,-0.678009,14,2.487255,2.512352,-0.600296,15,2.48578,2.703504,-0.547041,14,2.485618,2.820177,-0.513407,19,2.484547,2.907362,-0.481874
forgotten,forgotten,7.712911129,20,6.947472,0.858329,-0.871037,20,6.981163,1.08698,-1.05738,20,6.938228,1.52272,-0.989632,21,6.895122,1.827554,-0.87595,21,6.870938,2.00542,-0.814757,21,6.855559,2.138637,-0.768725
the,the,1.88545703888,10,2.266755,2.129623,1.27129,10,2.225239,2.37821,1.29123,9,2.220247,2.78747,1.26475,8,2.231343,3.043785,1.21623,8,2.232673,3.217078,1.21166,8,2.232227,3.352029,1.21339
little,little,3.90156793594,15,4.290554,1.718988,-0.410635,16,4.291437,2.115531,-0.262679,22,4.29084,2.557984,-0.229486,22,4.28486,2.837704,-0.206081,22,4.28482,3.014578,-0.2025,22,4.28382,3.150135,-0.201894
golden,golden,3.12239408493,16,4.771518,1.585154,-0.133834,17,4.790984,1.917088,-0.198443,22,4.791924,2.367098,-0.190886,22,4.787253,2.66359,-0.174114,22,4.784107,2.850429,-0.164149,22,4.783439,2.99183,-0.158305
key,key,2.32462024689,16,2.887316,1.416518,-0.168636,17,2.896375,1.711695,-0.205393,22,2.89461,2.167873,-0.199225,22,2.89025,2.474718,-0.188872,22,2.888089,2.666576,-0.183853,22,2.888091,2.807351,-0.184479
and,and,0.375682830811,16,2.123936,1.614011,0.197493,16,2.192178,1.787869,0.076174,17,2.145528,2.273891,0.106018,17,2.137103,2.57811,0.103392,17,2.119701,2.763384,0.096808,17,2.087648,2.967806,0.160455
when,when,5.4908285141,15,5.424115,1.165172,-0.448839,16,5.401624,1.510077,-0.277792,16,5.373892,2.059803,-0.214088,16,5.360539,2.391374,-0.186736,17,5.411692,2.48969,-0.273694,17,5.395171,2.715779,-0.252027
she,she,1.23016643524,10,1.165157,1.218072,0.0529,12,1.154947,1.522438,0.012361,12,1.171275,2.063437,0.003634,12,1.181121,2.385713,-0.005661,12,1.182643,2.477624,-0.012066,12,1.159296,2.716867,0.001088
went,went,3.19969844818,10,3.523577,1.351955,0.133883,10,3.517263,1.643777,0.121339,10,3.521242,2.197013,0.133576,10,3.524185,2.518377,0.132664,12,3.523012,2.607637,0.130013,15,3.540712,2.843587,0.12672
back,back,3.65798664093,19,4.329686,1.932606,0.580651,19,4.307906,2.270438,0.626661,21,4.296316,2.824825,0.627812,21,4.292635,3.147019,0.628642,25,4.283617,3.258881,0.651244,25,4.282755,3.49425,0.650663
to,to,1.26676750183,19,2.74973,1.963386,0.03078,18,2.72709,2.40375,0.133312,18,2.731214,2.995293,0.170468,18,2.734083,3.319371,0.172352,18,2.72775,3.456415,0.197534,19,2.726577,3.693985,0.199735
the,the,2.19982624054,8,1.417426,2.209013,0.245627,8,1.424844,2.594097,0.190347,8,1.417847,3.191586,0.196293,9,1.413003,3.492818,0.173447,9,1.404702,3.629945,0.17353,8,1.405987,3.862597,0.168612
table,table,5.38288450241,17,4.710125,1.743581,-0.465432,21,4.711268,2.145048,-0.449049,21,4.713163,2.724262,-0.467324,21,4.7176,3.039786,-0.453032,21,4.718662,3.207045,-0.4229,22,4.715758,3.443229,-0.419368
for,for,4.8759098053,17,4.827687,2.673127,0.929546,21,4.766979,3.194299,1.04925,21,4.774094,3.806383,1.08212,21,4.766701,4.141065,1.10128,21,4.740941,4.282626,1.07558,21,4.749687,4.534153,1.09092
it,it,2.26324892044,12,3.107066,1.819757,-0.85337,11,3.015163,2.41647,-0.777829,11,2.977194,3.020803,-0.78558,11,2.983433,3.315414,-0.825651,13,2.980419,3.525705,-0.756921,14,2.981506,3.740494,-0.793659
she,she,5.27953624725,13,3.304394,1.814999,-0.004758,13,3.44201,2.078201,-0.338269,13,3.546518,2.468349,-0.552454,13,3.537065,2.835409,-0.480005,13,3.55442,3.02116,-0.504545,14,3.582806,3.235212,-0.505282
found,found,3.6530790329,10,4.766707,2.294428,0.479429,14,4.760782,2.605108,0.526907,14,4.764677,2.97465,0.506301,15,4.774755,3.307925,0.472516,15,4.772875,3.482366,0.461206,15,4.783262,3.64677,0.411558
she,she,4.75324821472,11,5.713187,2.147589,-0.146839,11,5.696827,2.541734,-0.063374,14,5.662446,3.0772,0.10255,14,5.656335,3.41273,0.104805,13,5.646317,3.617201,0.134835,13,5.641913,3.792755,0.145985
could,could,3.48858761787,13,3.202686,1.803313,-0.344276,13,3.223205,2.11801,-0.423724,14,3.242513,2.574865,-0.502335,14,3.249848,2.922432,-0.490298,14,3.253918,3.139133,-0.478068,14,3.254738,3.307426,-0.485329
not,not,1.48427963257,14,1.805754,1.849901,0.046588,14,1.800348,2.206127,0.088117,15,1.800841,2.645427,0.070562,17,1.802176,2.966928,0.044496,17,1.803009,3.167444,0.028311,20,1.802229,3.332869,0.025443
possibly,possibly,6.53581094742,14,8.472975,2.092773,0.242872,14,8.395036,2.498445,0.292318,15,8.374282,2.950706,0.305279,17,8.391051,3.206587,0.239659,17,8.36474,3.477753,0.310309,20,8.363248,3.633566,0.300697
reach,reach,7.31742763519,15,8.141766,1.412802,-0.679971,16,8.150499,1.797311,-0.701134,16,8.136851,2.282131,-0.668575,16,8.13249,2.551401,-0.655186,17,8.145359,2.779361,-0.698392,19,8.121263,3.008699,-0.624867
it,it,4.54224586487,12,4.952117,2.602613,1.18981,13,4.893275,3.040563,1.24325,14,4.872919,3.542763,1.26063,14,4.86237,3.824903,1.2735,14,4.861423,4.048131,1.26877,14,4.867784,4.297796,1.2891
